Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,HeadquartersCity,HeadquartersState
267,Viatris,VTRS,Health Care,Pharmaceuticals,yes,no,no,yes,-11,no,yes,no,no,no,no,38000,14179.6,15426.9,-5.1,54.7,-97.4,47685.5,Scott A. Smith,Canonsburg,Pennsylvania
268,Kinder Morgan,KMI,Energy,Pipelines,yes,no,yes,yes,-54,no,yes,no,no,no,no,10891,40703.3,15334,-20.1,2391,-6.2,71020,Kimberly A. Dang,Houston,Texas
269,Ecolab,ECL,Chemicals,Chemicals,yes,no,no,yes,24,yes,no,no,no,yes,no,48000,66017.1,15320.2,8,1372.3,25.7,21846.6,Christophe Beck,St. Paul,Minnesota
270,Baxter International,BAX,Health Care,Medical Products and Equipment,yes,no,no,no,4,yes,no,no,no,no,no,60000,21704.5,15282,1.1,2656,,28276,Jos? E. Almeida,Deerfield,Illinois
271,Devon Energy,DVN,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-55,no,yes,no,no,no,no,1900,31864.3,15258,-20.4,3747,-37.7,24490,Richard E. Muncrief,Oklahoma City,Oklahoma
272,Kellanova,K,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-2,no,yes,no,no,no,no,23000,19579.4,15207,-0.7,951,-0.9,15621,Steven A. Cahillane,Chicago,Illinois
273,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,22,yes,no,no,no,no,no,9685,,15194.4,7.8,-652.9,,23677.7,Raul Vargas,Woodland Hills,California
274,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,yes,no,no,yes,42,yes,no,no,no,no,no,31637,11788.1,15094.5,16.5,446.7,31.5,5943.3,Darren M. Rebelez,Ankeny,Iowa
275,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,11,yes,no,no,no,yes,no,87000,46029.4,14984,4,1358,24.5,26681,Ari Bousbib,Durham,North Carolina
276,Republic Services,RSG,Business Services,Waste Management,yes,no,no,yes,33,yes,no,no,no,yes,no,41000,60229,14964.5,10.8,1731,16.4,31410.1,Jon Vander Ark,Phoenix,Arizona
277,Fox,FOXA,Media,Entertainment,yes,no,no,no,23,yes,no,no,no,no,no,10400,14225.1,14913,6.7,1239,2.8,21866,Lachlan K. Murdoch,New York,New York
278,Gap,GPS,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-13,no,yes,no,no,no,no,85000,10290.3,14889,-4.7,502,,11044,Richard Dickson,San Francisco,California
279,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,17,yes,no,no,no,yes,no,28100,42557.4,14814,5.4,2181,51.9,52130,Timothy P. Cofer,Burlington,Massachusetts
280,Reliance,RS,Materials,Metals,yes,no,yes,yes,-33,no,yes,no,no,yes,no,15250,19190.4,14805.9,-13,1335.9,-27.4,10480.3,Karla R. Lewis,Scottsdale,Arizona
281,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-13,no,yes,no,no,no,no,15000,4810.9,14802.7,-4.1,602.5,-39.6,10159.4,David W. Hult,Duluth,Georgia
282,Pacific Life,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,30,yes,no,no,no,no,no,4181,,14802,10.8,875,14.7,217386,Darryl D. Button,Newport Beach,California
283,Vistra,VST,Energy,Energy,yes,no,no,no,21,yes,no,no,no,no,no,4870,24230.2,14779,7.7,1493,,32966,James A. Burke,Irving,Texas
284,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,30,yes,no,no,no,no,no,2669,,14775.1,12.3,484.8,56.8,75968.9,John F. Barrett,Cincinnati,Ohio
285,Andersons,ANDE,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-46,no,yes,no,no,no,no,2297,1953.4,14750.1,-15,101.2,-22.8,3855,Patrick E. Bowe,Maumee,Ohio
286,Nordstrom,JWN,Retailing,General Merchandisers,yes,no,no,no,-19,no,yes,no,no,yes,no,54000,3309.2,14693,-5.4,134,-45.3,8444,Erik B. Nordstrom,Seattle,Washington
287,Omnicom Group,OMC,Business Services,"Advertising, marketing",yes,no,no,yes,3,yes,no,no,no,no,no,75900,19081.1,14692.2,2.8,1391.4,5.7,28044.6,John D. Wren,New York,New York
288,Fidelity National Information Services,FIS,Business Services,Financial Data Services,no,no,yes,no,-5,no,yes,no,no,no,no,60000,42762.2,14680,1,-6654,,55105,Stephanie L. Ferris,Jacksonville,Florida
289,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,yes,no,no,yes,-25,no,yes,no,no,no,no,14592,31375.8,14663,-6.4,2519,51.7,66331,Timothy P. Cawley,New York,New York
290,CSX,CSX,Transportation,Railroads,yes,no,no,yes,-11,no,yes,no,no,yes,no,23232,72568,14657,-1.3,3715,-10.8,42408,Joseph R. Hinrichs,Jacksonville,Florida
291,AECOM,ACM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,19,yes,no,no,no,yes,no,52000,13341.2,14591.3,8.1,55.3,-82.2,11233.4,W. Troy Rudd,Dallas,Texas
292,Lumen Technologies,LUMN,Telecommunications,Telecommunications,no,no,yes,no,-55,no,yes,no,no,no,no,28000,1585,14557,-16.7,-10298,,34018,Kathleen E. Johnson,Monroe,Louisiana
293,Tractor Supply,TSCO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-2,no,yes,no,no,no,no,37500,28248,14555.7,2.5,1107.2,1.7,9188.2,Harry A. Lawton III,Brentwood,Tennessee
294,DXC Technology,DXC,Technology,Information Technology Services,no,no,no,no,-39,no,yes,no,no,no,no,130000,3878.7,14430,-11.3,-568,-179.1,15845,Raul J. Fernandez,Ashburn,Virginia
295,AGCO,AGCO,Industrials,Construction and Farm Machinery,yes,no,no,yes,29,yes,no,no,no,yes,no,27900,9179.5,14412.4,13.9,1171.4,31.7,11421.2,Eric P. Hansotia,Duluth,Georgia
296,Sonic Automotive,SAH,Retailing,"Automotive Retailing, Services",yes,no,no,yes,3,yes,no,no,no,no,no,10500,1941.7,14372.4,2.7,178.2,101.4,5364.6,David Bruton Smith,Charlotte,North Carolina
297,Intuit,INTU,Technology,Computer Software,yes,no,no,yes,24,yes,no,no,no,yes,yes,22900,181986.4,14368,12.9,2384,15.4,27780,Sasan K. Goodarzi,Mountain View,California
298,United Rentals,URI,Business Services,Equipment Leasing,yes,no,no,yes,57,yes,no,no,no,no,no,26300,48437.2,14332,23.1,2424,15.2,25589,Matthew J. Flannery,Stamford,Connecticut
299,Universal Health Services,UHS,Health Care,Health Care: Medical Facilities,yes,no,no,yes,12,yes,no,no,no,yes,no,85025,12265.2,14282,6.6,717.8,6.2,13967.6,Marc D. Miller,King of Prussia,Pennsylvania
300,Boston Scientific,BSX,Health Care,Medical Products and Equipment,yes,no,no,yes,23,yes,no,no,no,yes,no,48000,100673.1,14240,12.3,1592,128.1,35136,Michael F. Mahoney,Marlborough,Massachusetts
301,Otis Worldwide,OTIS,Industrials,Industrial Machinery,yes,no,yes,yes,5,yes,no,no,no,yes,no,71000,40249.5,14209,3.8,1406,12.2,10117,Judith F. Marks,Farmington,Connecticut
302,Xcel Energy,XEL,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,yes,no,no,yes,no,11311,29839.6,14206,-7.2,1771,2,64079,Robert C. Frenzel,Minneapolis,Minnesota
303,Edward Jones,,Financials,Securities,yes,no,yes,yes,30,yes,no,no,no,yes,yes,54000,,14080,13.4,1612,14.8,28003,Penny Pennington,Des Peres,Missouri
304,Ball,BALL,Materials,"Packaging, Containers",yes,no,no,no,-35,no,yes,no,no,yes,no,21000,21206.3,14029,-8.6,707,-1.7,19303,Daniel W. Fisher,Westminster,Colorado
305,LKQ,LKQ,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,14,yes,no,no,no,no,no,49000,14248.5,13866,8.4,936,-18.5,15079,Justin Jude,Chicago,Illinois
306,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,22,yes,no,no,no,no,no,6231,,13855.8,10.6,47.7,,51838.6,James T. Blackledge,Omaha,Nebraska
307,Mosaic,MOS,Chemicals,Chemicals,yes,no,no,yes,-90,no,yes,no,no,no,no,14049,10442,13696.1,-28.4,1164.9,-67.5,23032.8,Bruce M. Bodine,Tampa,Florida
308,Textron,TXT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,10,yes,no,no,no,yes,no,35000,18500.5,13683,6.3,921,7,16856,Scott C. Donnelly,Providence,Rhode Island
309,Labcorp Holdings,LH,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-31,no,yes,no,no,yes,no,61975,18372.5,13668.2,-8.1,418,-67.3,16725.1,Adam H. Schechter,Burlington,North Carolina
310,Principal Financial,PFG,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-74,no,yes,no,no,no,no,19800,20357.8,13665.8,-21.9,623.2,-87,305046.7,Daniel J. Houston,Des Moines,Iowa
311,Regeneron Pharmaceuticals,REGN,Health Care,Pharmaceuticals,yes,yes,no,yes,28,yes,no,no,no,no,no,13450,105644.7,13117.2,7.8,3953.6,-8.9,33080.2,Leonard S. Schleifer,Tarrytown,New York
312,Raymond James Financial,RJF,Financials,Securities,yes,no,no,yes,51,yes,no,no,no,yes,no,18000,26843.3,12992,14.9,1739,15.2,78360,Paul C. Reilly,St. Petersburg,Florida
313,Dick's Sporting Goods,DKS,Retailing,Specialty Retailers: Other,yes,no,yes,yes,21,yes,no,no,no,no,no,37200,18539.3,12984.4,5,1046.5,0.3,9311.8,Lauren R. Hobart,Coraopolis,Pennsylvania
314,Auto-Owners Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,48,yes,no,no,no,no,no,6946,,12937.7,13.4,-912.4,,36238.2,Jamie Whisnant,Lansing,Michigan
315,Expedia Group,EXPE,Retailing,Internet Services and Retailing,yes,no,yes,yes,38,yes,no,no,no,no,no,17100,18773.7,12839,10,797,126.4,21642,Ariane  Gorin,Seattle,Washington
316,J.B. Hunt Transport Services,JBHT,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-36,no,yes,no,no,yes,no,34718,20582.2,12829.7,-13.4,728.3,-24.9,8538.3,Shelley Simpson,Lowell,Arkansas
317,M&T Bank,MTB,Financials,Commercial Banks,yes,no,no,no,122,yes,no,no,no,no,no,21980,24233.4,12752,48.2,2741,37.6,208264,Ren? F. Jones,Buffalo,New York
318,DTE Energy,DTE,Energy,Utilities: Gas and Electric,yes,no,no,no,-106,no,yes,no,no,yes,no,9950,23204.6,12745,-33.7,1397,29,44755,Gerardo Norcia,Detroit,Michigan
319,AES,AES,Energy,Utilities: Gas and Electric,yes,no,no,yes,8,yes,no,no,no,yes,no,9600,12744.8,12668,0.4,249,,44799,Andr?s R. Gluski,Arlington,Virginia
320,Berry Global Group,BERY,Materials,"Packaging, Containers",yes,no,no,no,-36,no,yes,no,no,no,no,44000,7009.6,12664,-12.6,609,-20.5,16587,Kevin Kwilinski,Evansville,Indiana
321,Fifth Third Bancorp,FITB,Financials,Commercial Banks,yes,no,no,no,90,yes,no,no,no,yes,no,18724,25434.9,12641,35.2,2349,-4,214574,Timothy N. Spence,Cincinnati,Ohio
322,Air Products & Chemicals,APD,Chemicals,Chemicals,yes,no,no,yes,0,no,no,no,no,no,no,21850,53856.9,12600,-0.8,2300.2,2,32002.5,Seifi Ghasemi,Allentown,Pennsylvania
323,Corning,GLW,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-31,no,yes,no,no,no,no,49800,28192.4,12588,-11.3,581,-55.9,28500,Wendell P. Weeks,Corning,New York
324,EMCOR Group,EME,Engineering & Construction,Engineering & Construction,yes,no,no,yes,45,yes,no,no,no,yes,no,38300,16482.1,12582.9,13.6,633,55.9,6609.7,Anthony J. Guzzi,Norwalk,Connecticut
325,Amphenol,APH,Technology,Network and Other Communications Equipment,yes,no,no,yes,1,yes,no,no,no,yes,no,95000,69193.3,12554.7,-0.5,1928,1.4,16526.4,R. Adam Norwitt,Wallingford,Connecticut
326,Westlake,WLK,Chemicals,Chemicals,yes,no,no,no,-63,no,yes,no,no,no,no,15520,19636.5,12548,-20.6,479,-78.7,21035,Jean-Marc Gilson,Houston,Texas
327,DuPont,DD,Chemicals,Chemicals,yes,no,no,yes,-77,no,yes,no,no,no,no,24000,32016.1,12528,-24.3,423,-92.8,38552,Edward D. Breen,Wilmington,Delaware
328,Liberty Media,LSXMA,Media,Entertainment,yes,no,no,no,12,yes,no,no,no,yes,no,6486,9699.7,12525,3,761,-58.1,41168,Gregory B. Maffei,Englewood,Colorado
329,S&P Global,SPGI,Business Services,Financial Data Services,yes,no,no,yes,37,yes,no,no,no,yes,no,40450,136253.3,12497,11.8,2626,-19.2,60589,Douglas L. Peterson,New York,New York
330,Community Health Systems,CYH,Health Care,Health Care: Medical Facilities,no,no,no,no,7,yes,no,no,no,no,no,54500,486.4,12490,2.3,-133,-389.1,14455,Tim L. Hingtgen,Franklin,Tennessee
331,FirstEnergy,FE,Energy,Utilities: Gas and Electric,yes,no,no,no,12,yes,no,no,no,no,no,12042,22226.4,12450,3.3,1102,171.4,48767,Brian X. Tierney,Akron,Ohio
332,Unum Group,UNM,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,15,yes,no,no,no,no,no,10683,10298.6,12385.9,3.3,1283.8,-2.3,63255.2,Richard P. McKenney,Chattanooga,Tennessee
333,Henry Schein,HSIC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-8,no,yes,no,no,no,no,25000,9704.8,12339,-2.4,416,-22.7,10573,Stanley M. Bergman,Melville,New York
334,Western Digital,WDC,Technology,"Computers, Office Equipment",no,no,no,no,-113,no,yes,no,no,yes,no,53000,22278.8,12318,-34.5,-1706,-213.7,24429,David V. Goeckeler,San Jose,California
335,Analog Devices,ADI,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,9,yes,no,no,no,no,no,26000,98085.7,12305.5,2.4,3314.6,20.6,48794.5,Vincent T. Roche,Wilmington,Massachusetts
336,Conagra Brands,CAG,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,24,yes,no,no,no,no,no,18600,14168.1,12277,6.4,683.6,-23,22052.6,Sean M. Connolly,Chicago,Illinois
337,Citizens Financial Group,CFG,Financials,Commercial Banks,yes,no,no,no,82,yes,no,no,no,yes,no,17570,16635.3,12187,34.4,1608,-22.4,221964,Bruce W. Van Saun,Providence,Rhode Island
338,Norfolk Southern,NSC,Transportation,Railroads,yes,no,no,yes,-18,no,yes,no,no,no,no,20700,57570.4,12156,-4.6,1827,-44.1,41652,Alan H. Shaw,Atlanta,Georgia
339,Entergy,ETR,Energy,Utilities: Gas and Electric,yes,no,no,yes,-37,no,yes,no,no,no,no,12177,22535.5,12147.4,-11.7,2356.5,113.6,59703.4,Andrew S. Marsh,New Orleans,Louisiana
340,W.R. Berkley,WRB,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,27,yes,no,no,no,no,no,8329,22689.2,12142.9,8.7,1381.4,,37202,W. Robert Berkley Jr.,Greenwich,Connecticut
341,DaVita,DVA,Health Care,Health Care: Medical Facilities,yes,no,no,no,16,yes,no,no,no,yes,no,70000,12107,12140.1,4.6,691.5,23.4,16893.6,Javier J. Rodriguez,Denver,Colorado
342,Northern Trust,NTRS,Financials,Commercial Banks,yes,no,no,no,135,yes,no,no,no,yes,no,23100,18141.4,12116.5,56.3,1107.3,-17.1,150783.1,Michael G. O'Grady,Chicago,Illinois
343,Hormel Foods,HRL,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-13,no,yes,no,no,yes,no,20000,19108.8,12110,-2.8,793.6,-20.6,13448.8,James P. Snee,Austin,Minnesota
344,Crown Holdings,CCK,Materials,"Packaging, Containers",yes,no,no,no,-27,no,yes,no,no,no,no,25000,9574.2,12010,-7.2,450,-38.1,15034,Timothy J. Donahue,Tampa,Florida
345,Avis Budget Group,CAR,Retailing,"Automotive Retailing, Services",yes,no,no,no,1,yes,no,no,no,no,no,21250,4344,12008,0.1,1632,-41,32569,Joseph A. Ferraro,Parsippany,New Jersey
346,Wayfair,W,Retailing,Internet Services and Retailing,no,yes,no,no,-10,no,yes,no,no,no,no,12800,8174.7,12003,-1.8,-738,,3474,Niraj S. Shah,Boston,Massachusetts
347,MasTec,MTZ,Engineering & Construction,Engineering & Construction,no,no,no,yes,47,yes,no,no,no,yes,no,34000,7393,11995.9,22.7,-49.9,-249.8,9373.5,Jos? R. Mas,Coral Gables,Florida
348,Eversource Energy,ES,Energy,Utilities: Gas and Electric,no,no,no,yes,-13,no,yes,no,no,no,no,10171,20962.9,11910.7,-3.1,-442.2,-131.5,55612.2,Joseph R. Nolan Jr.,Springfield,Massachusetts
349,Newmont,NEM,Energy,"Mining, Crude-Oil Production",no,no,no,yes,-1,no,yes,no,no,no,no,21700,41315.9,11812,-0.9,-2494,,55506,Thomas R. Palmer,Denver,Colorado
350,Ryder System,R,Transportation,Transportation and Logistics,yes,no,no,no,-5,no,yes,no,no,yes,no,47500,5320.5,11783,-1.9,406,-53.2,15778,Robert E. Sanchez,Coral Gables,Florida
351,Fidelity National Financial,FNF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,8,yes,no,no,no,no,no,22293,14507.3,11752,1.7,517,-54.5,80614,Michael J. Nolan,Jacksonville,Florida
352,Molson Coors Beverage,TAP,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,22,yes,no,no,no,no,no,16500,14297.8,11702.1,9.4,948.9,,26375.1,Gavin D.K. Hattersley,Chicago,Illinois
353,Caesars Entertainment,CZR,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,1,yes,no,no,no,no,no,51000,9461,11673,0.2,786,,33366,Thomas R. Reeg,Reno,Nevada
354,Lincoln National,LNC,Financials,"Insurance: Life, Health (stock)",no,no,yes,no,-132,no,yes,no,no,no,no,11024,5417.5,11645,-37.9,-752,,372413,Ellen G. Cooper,Radnor,Pennsylvania
355,VF,VFC,Apparel,Apparel,yes,no,no,no,-6,no,yes,no,no,no,no,26400,5964.4,11612.5,-1.9,118.6,-91.5,13990.5,Bracken P. Darrell,Denver,Colorado
356,International Flavors & Fragrances,IFF,Chemicals,Chemicals,no,no,no,no,-24,no,yes,no,no,no,no,21500,21954.9,11479,-7.7,-2567,,30978,J. Erik  Fyrwald,New York,New York
357,Huntington Ingalls Industries,HII,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,18,yes,no,no,no,no,no,44000,11544.7,11454,7.3,681,17.6,11215,Christopher D. Kastner,Newport News,Virginia
358,Advance Auto Parts,AAP,Retailing,Specialty Retailers: Other,yes,no,no,yes,10,yes,no,no,no,no,no,54500,5072.2,11287.6,1.2,29.7,-93.6,12276.3,Shane M. O'Kelly,Raleigh,North Carolina
359,Public Service Enterprise Group,PEG,Energy,Utilities: Gas and Electric,yes,no,no,yes,33,yes,no,no,no,no,no,12543,33295.6,11237,14.7,2563,148.6,50741,Ralph A. LaRossa,Newark,New Jersey
360,Ulta Beauty,ULTA,Retailing,Specialty Retailers: Other,yes,no,no,yes,23,yes,no,no,no,no,no,38000,25238.8,11207.3,9.8,1291,3.9,5707,David C. Kimbell,Bolingbrook,Illinois
361,Hershey,HSY,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,yes,yes,19,yes,no,no,no,no,no,19578,39719.1,11165,7.2,1861.8,13.2,11902.9,Michele G. Buck,Hershey,Pennsylvania
362,Chewy,CHWY,Retailing,Internet Services and Retailing,yes,no,no,no,27,yes,no,no,no,yes,no,18100,6919.5,11147.7,10.4,39.6,-19.6,3186.9,Sumit Singh,Plantation,Florida
363,American Tower,AMT,Financials,Real estate,yes,no,no,no,10,yes,no,no,no,no,no,5643,92146.5,11144.2,4,1483.3,-16,66027.6,Steven O. Vondran,Boston,Massachusetts
364,Mohawk Industries,MHK,Household Products,"Home Equipment, Furnishings",no,no,no,yes,-13,no,yes,no,no,no,no,43300,8337.2,11135.1,-5.1,-439.5,-1840.9,13559.9,Jeffrey S. Lorberbaum,Calhoun,Georgia
365,Assurant,AIZ,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,19,yes,no,no,no,no,no,13600,9784.3,11131.6,9.2,642.5,132.3,33635.2,Keith W. Demmings,Atlanta,Georgia
366,Thor Industries,THO,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,-112,no,yes,no,no,no,no,24900,6257.1,11121.6,-31.8,374.3,-67.1,7260.8,Robert W. Martin,Elkhart,Indiana
367,Graybar Electric,,Wholesalers,Wholesalers: Diversified,yes,no,yes,yes,11,yes,no,no,no,yes,no,9500,,11042.4,4.8,463.4,2.3,4006.1,Kathleen M. Mazzarella,St. Louis,Missouri
368,Yum China Holdings,YUMC,"Hotels, Restaurants & Leisure",Food Services,yes,no,yes,yes,37,yes,no,no,no,yes,no,293500,15598.8,10978,14.7,827,87.1,12031,Joey Wat,Plano,Texas
369,Celanese,CE,Chemicals,Chemicals,yes,no,yes,no,27,yes,no,no,no,no,no,12410,19173.3,10940,13.1,1960,3.5,26597,Lori J. Ryerkerk,Irving,Texas
370,Qurate Retail,QRTEA,Retailing,Internet Services and Retailing,no,no,no,no,-28,no,yes,no,no,no,no,20386,510.9,10915,-9.8,-145,,11368,David L. Rawlinson II,Englewood,Colorado
371,Williams,WMB,Energy,Pipelines,yes,no,no,yes,-1,no,yes,no,no,no,no,5601,47482,10907,-0.5,3179,55.1,52627,Alan S. Armstrong,Tulsa,Oklahoma
372,Interpublic Group,IPG,Business Services,"Advertising, marketing",yes,no,no,no,-1,no,yes,no,no,no,no,57400,12357.8,10889.3,-0.4,1098.4,17.1,19267.3,Philippe Krakowsky,New York,New York
373,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-44,no,yes,no,no,no,no,1743,13958.7,10883,-12.7,2085,-42.7,19987,Brendan M. McCracken,Denver,Colorado
374,Icahn Enterprises,IEP,Financials,Diversified Financials,no,no,no,no,-80,no,yes,no,no,no,no,15038,7297.9,10847,-23.1,-684,,20858,Andrew  Teno,Sunny Isles Beach,Florida
375,Huntington Bancshares,HBAN,Financials,Commercial Banks,yes,no,no,yes,91,yes,no,no,no,no,no,19955,20308.6,10837,36.3,1951,-12.8,189368,Stephen D. Steinour,Columbus,Ohio
376,Erie Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,38,yes,no,no,no,no,no,6510,,10812.5,16.3,-526.6,,27515.2,Timothy G. NeCastro,Erie,Pennsylvania
377,Carvana,CVNA,Retailing,"Automotive Retailing, Services",yes,yes,no,no,-69,no,yes,no,no,no,no,13700,16943.7,10771,-20.8,450,,7071,Ernest C. Garcia III,Tempe,Arizona
378,Hess,HES,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-20,no,yes,no,no,no,no,1756,46883.7,10645,-8,1382,-34.1,24007,John B. Hess,New York,New York
379,Dana,DAN,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,8,yes,no,no,no,no,no,41800,1840.9,10555,3.9,38,,7965,James K. Kamsickas,Maumee,Ohio
380,Alcoa,AA,Materials,Metals,no,no,no,yes,-49,no,yes,no,no,no,no,13600,6067.3,10551,-15.3,-651,,14155,William F. Oplinger,Pittsburgh,Pennsylvania
381,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-83,no,yes,no,no,no,no,10700,12532.3,10528,-24.9,1302,-27.1,276814,Mark Pearson,New York,New York
382,KLA,KLAC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,34,yes,no,no,no,no,no,15105,94470.2,10496.1,13.9,3387.3,2,14072.4,Richard P. Wallace,Milpitas,California
383,Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,19,yes,no,no,no,no,no,187384,19959.5,10487.8,8.9,981.9,3.1,10241.5,Ricardo Cardenas,Orlando,Florida
384,Autoliv,ALV,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,45,yes,no,no,no,no,no,66434,9809.7,10475,18.5,488,15.4,8332,Mikael Bratt,Auburn Hills,Michigan
385,Alaska Air Group,ALK,Transportation,Airlines,yes,no,no,yes,13,yes,no,no,no,no,no,24610,5408.1,10426,8.1,235,305.2,14613,Benito Minicucci,Seattle,Washington
386,KeyCorp,KEY,Financials,Commercial Banks,yes,no,no,yes,73,yes,no,no,no,no,no,17692,14663.3,10397,27.9,967,-49.6,188281,Christopher M. Gorman,Cleveland,Ohio
387,Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,326,yes,no,yes,no,yes,no,38550,38840.4,10372,139.1,1221,-33.4,21778,Robert G. Goldstein,Las Vegas,Nevada
388,Owens & Minor,OMI,Health Care,Wholesalers: Health Care,no,no,no,no,2,yes,no,no,no,no,no,22200,2122.5,10334,3.8,-41.3,-284.5,5093.3,Edward A. Pesicka,Mechanicsville,Virginia
389,Hilton Worldwide Holdings,HLT,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,42,yes,no,no,no,yes,yes,178000,53788.4,10235,16.7,1141,-9.1,15401,Christopher J. Nassetta,McLean,Virginia
390,Ebay,EBAY,Technology,Internet Services and Retailing,yes,no,no,yes,3,yes,no,no,no,no,no,12300,27340,10112,3.2,2767,,21620,Jamie Iannone,San Jose,California
391,Arthur J. Gallagher,AJG,Financials,Diversified Financials,yes,no,no,yes,52,yes,no,no,no,no,no,52118,54584.4,10071.9,17.8,969.5,-13,51615.8,J. Patrick Gallagher Jr.,Rolling Meadows,Illinois
392,LPL Financial Holdings,LPLA,Financials,Securities,yes,no,no,yes,48,yes,no,no,no,no,no,7372,19735.9,10052.8,16.9,1066.3,26.1,10385.5,Dan H. Arnold,San Diego,California
393,Cincinnati Financial,CINF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,141,yes,no,yes,no,no,no,5426,19456.1,10013.4,52.7,1843.3,,32769.5,Stephen M. Spray,Fairfield,Ohio
394,Toll Brothers,TOL,Engineering & Construction,Homebuilders,yes,no,no,no,-12,no,yes,no,no,yes,no,4800,13476.5,9994.9,-2.7,1372.1,6.7,12527,Douglas C. Yearley Jr.,Fort Washington,Pennsylvania
395,Motorola Solutions,MSI,Technology,Network and Other Communications Equipment,yes,no,no,yes,23,yes,no,no,no,no,no,21000,59141.7,9978,9.5,1709,25.4,13336,Gregory Q. Brown,Chicago,Illinois
396,Airbnb,ABNB,Technology,Internet Services and Retailing,yes,yes,no,yes,54,yes,no,no,no,yes,no,6907,106739.8,9917,18.1,4792,153.1,20645,Brian Chesky,San Francisco,California
397,Intercontinental Exchange,ICE,Financials,Securities,yes,yes,no,yes,4,yes,no,no,no,no,no,13222,78694.7,9903,2.8,2368,63.8,136084,Jeffrey C. Sprecher,Atlanta,Georgia
398,News Corp.,NWSA,Media,"Publishing, Printing",yes,no,no,no,-17,no,yes,no,no,no,no,25000,15120.1,9879,-4.9,149,-76.1,16921,Robert J. Thomson,New York,New York
399,Chipotle Mexican Grill,CMG,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,39,yes,no,no,no,yes,no,116068,79707,9871.6,14.3,1228.7,36.7,8044.4,Scott Boatwright,Newport Beach,California
